iter	Logloss
365	0.6455159767
366	0.6454884605
367	0.6454603581
368	0.6454359483
369	0.6454148748
370	0.6453873505
371	0.6453638871
372	0.6453376767
373	0.6453031689
374	0.6452713686
375	0.6452365969
376	0.6452034647
377	0.6451930452
378	0.6451643205
379	0.6451348497
380	0.6450863446
381	0.6450638084
382	0.645015664
383	0.6449870394
384	0.6449563173
385	0.6449297027
386	0.644894573
387	0.6448723286
388	0.6448520278
389	0.6448258806
390	0.6448033016
391	0.6447876303
392	0.6447546995
393	0.6447154106
394	0.6446850907
395	0.644653439
396	0.6446287879
397	0.6446162002
398	0.6446030444
399	0.6445923642
400	0.6445693693
401	0.6445370079
402	0.6445136787
403	0.6444634227
404	0.644442198
405	0.6444328143
406	0.6444023872
407	0.6443823968
408	0.644360607
409	0.6443354904
410	0.6443112709
411	0.6442909058
412	0.6442717289
413	0.6442446089
414	0.6442277677
415	0.6442096395
416	0.6441997047
417	0.6441750154
418	0.6441509149
419	0.6441298347
420	0.6441072134
421	0.6440731972
422	0.6440469712
423	0.6440155433
424	0.6439949969
425	0.6439740007
426	0.6439617441
427	0.6439358602
428	0.6439209967
429	0.6438847756
430	0.6438589728
431	0.6438316497
432	0.6438013583
433	0.6437767213
434	0.6437262042
435	0.6436931733
436	0.6436830269
437	0.6436682269
438	0.6436532139
439	0.643642161
440	0.6436049477
441	0.6435869347
442	0.6435552108
443	0.6435326062
444	0.6435125279
445	0.6434999374
446	0.6434799068
447	0.6434618682
448	0.6434509412
449	0.6434348209
450	0.6433960003
451	0.643382372
452	0.643366751
453	0.6433455378
454	0.6433330258
455	0.643313766
456	0.643282547
457	0.6432685502
458	0.6432289136
459	0.6432129736
460	0.6431765541
461	0.6431499225
462	0.6431236463
463	0.6431002524
464	0.6430954379
465	0.6430557409
466	0.6430173334
467	0.6429909413
468	0.6429745052
469	0.6429604397
470	0.6429290285
471	0.642901825
472	0.6428887873
473	0.6428625013
474	0.6428381671
475	0.6428011186
476	0.6427683189
477	0.6427343563
478	0.642704903
479	0.6426842758
480	0.6426705501
481	0.6426506843
482	0.6426344041
483	0.6425962064
484	0.6425826963
485	0.6425772049
486	0.6425581735
487	0.642537769
488	0.6425133288
489	0.6424801637
490	0.6424488007
491	0.6424308479
492	0.642411615
493	0.642392157
494	0.6423715584
495	0.6423516763
496	0.6423225912
497	0.642298723
498	0.6422810015
499	0.6422636011
